Day,Temperature
1,11.251628648359986
2,10.239795571998817
3,12.069672084550191
4,14.07809611485085
5,10.821165231615025
6,11.078251547813162
7,14.961546304505074
8,13.59405104000479
9,11.375683538094313
10,13.654517249894093
11,11.896565262023739
12,12.145107990888775
13,13.81274723819455
14,9.753531000773656
15,10.38046376171674
16,12.954797304529638
17,12.301574252540288
18,15.202313035034884
19,13.002996774343044
20,12.238236091241117
21,18.236439370488682
22,15.094315542387024
23,15.920007503029954
24,13.172823465662681
25,15.169138590134386
26,16.713479067676197
27,14.421452971261553
28,17.704650100234108
29,15.979730221899217
30,16.823245752813104
31,16.426650933322776
32,21.55579047950113
33,18.043083123598624
34,16.171107839602495
35,20.14561616857314
36,16.270316801864972
37,19.33862749442096
38,15.207812803967341
39,16.67432912881615
40,19.92520698509091
41,21.20637657551554
42,20.267255836014115
43,19.8853577177177
44,19.703584117176426
45,17.534830925039852
46,19.235160917437206
47,19.93338303251911
48,23.14549979689761
49,21.89181789458525
50,17.848506816452968
51,22.189390342048657
52,20.934273205228997
53,20.51034085073974
54,23.243768900301887
55,24.235084930102317
56,24.18470853776861
57,20.789124349041842
58,21.990851332814746
59,23.40978323572004
60,24.832549628381763
61,22.05349684525337
62,22.76705762383601
63,21.048342701138395
64,20.987306948731884
65,25.119514689572046
66,26.317687249181187
67,23.567899579619336
68,25.821635111533567
69,24.63639730378322
70,22.71731892313363
71,24.82063208014526
72,27.260018944339077
73,24.194195666207403
74,27.472809710506596
75,19.177456549905024
76,26.12990407357327
77,24.72505296424895
78,24.013492126654572
79,24.851246675655855
80,20.744459224872354
81,24.327763475606357
82,25.52446677893329
83,27.804775515793327
84,23.84679270472169
85,23.296281397622902
86,23.935270855038613
87,26.790678832026483
88,25.634033536652833
89,23.929229761061176
90,26.023062395925074
91,25.19401619473893
92,26.936039860886847
93,23.589088022555657
94,24.327871440579965
95,24.18454110671657
96,22.022853630048317
97,25.518820220639615
98,25.420963283370995
99,24.87693787318674
100,24.360989586734814
101,21.958480765356626
102,23.902607634169016
103,24.008776341628813
104,23.035603721042285
105,24.2592015261039
106,25.32716845899004
107,28.22443003088329
108,24.729922880473126
109,24.820315730902212
110,24.07653186865024
111,20.30387472025823
112,24.00019244353304
113,24.081319385451746
114,28.790845057866974
115,23.37903246132866
116,24.26216413608047
117,23.48091349545978
118,21.10023328578457
119,25.60650546847244
120,24.70404912497658
121,24.657658674725923
122,21.128357011159192
123,25.620421168119606
124,19.87503373471139
125,23.712596378880097
126,26.7762242324786
127,20.266998121427363
128,20.96460373560863
129,22.14204568691452
130,20.77779651794832
131,18.521933758373347
132,21.595455141470197
133,19.165394985527918
134,22.0655150239993
135,19.104514842829705
136,23.86502251517451
137,19.017247566935197
138,19.755095370893315
139,21.838635576894582
140,17.559229330335093
141,20.282265227344535
142,22.24510620711331
143,16.21647574981506
144,19.598536716514523
145,19.544126536870685
146,20.380424527941717
147,16.132682596808703
148,15.752925709984094
149,19.22248970934356
150,18.554920068895374
151,18.241921565929548
152,18.211523620680587
153,15.934041163473367
154,17.53190000942996
155,17.424745349224242
156,15.179078929204689
157,20.106554121832826
158,17.088005224057895
159,13.521247155441705
160,16.978726695327133
161,13.476342620491874
162,16.758353897545906
163,17.258318391382765
164,13.055240977333984
165,16.377444547591004
166,15.029021981861234
167,15.599102710909087
168,17.498918672521928
169,12.963808821453442
170,11.695341402881963
171,11.1710644876526
172,11.064878215952557
173,12.28790177524955
174,12.869291903431415
175,12.484604260448759
176,13.329251604897474
177,11.4440550310138
178,14.067865342816578
179,10.373885494010983
180,16.085671828247197
